Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
2023-01-14 06:00:00,6.3,15,5.9,13.7,64,4.2,58,64,73,1,45,53,32,9,28.7,55.9,5,4.7,58.6,99.7,0.2,28.8,59.6,4.9,4.6,61.3,96.2,0.2,164,56.828,0,33
2023-01-14 08:00:00,6.3,15,5.9,13.8,64,4.2,58,64,73,1,45,53,32,9,28.2,58.4,5,4.7,60.8,103,0.2,28.9,59.7,4.9,4.7,61.2,111,0.2,192,68.697,0,33
2023-01-14 10:00:00,6.3,15,5.9,13.8,64,4.2,58,64,73,1,45,53,32,9,28.2,58.4,5,4.7,60.8,102,0.2,28.9,59.7,4.9,4.7,61.2,108,0.2,200,71.987,0,33
2023-01-14 12:00:00,6.3,15,5.9,13.8,65,4.2,58,64,73,1,45,53,32,9,28.9,55.8,4.8,4.6,58.5,114.3,0.2,29.3,60.2,4.8,4.6,62.3,105.3,0.2,209,75.611,0,33
2023-01-14 14:00:00,6.3,15,5.9,13.8,72,4.2,58,64,73,1,45,53,32,9,28.9,55.8,4.8,4.6,58.5,114,0.2,29.3,60.2,4.8,4.6,62.3,107,0.2,221,80.283,0,33
2023-01-14 16:00:00,6.3,15,5.9,13.8,64,4.2,58,64,73,1,45,53,32,9,28.9,55.8,4.8,4.6,58.5,114,0.2,29.3,60.2,4.8,4.6,62.3,107,0.2,87,24.384,0,33
2023-01-14 18:00:00,6.3,15,5.9,13.8,64,4.2,58,64,73,1,45,53,32,9,28.9,55.8,4.8,4.6,58.5,114,0.2,29.3,60.2,4.8,4.6,62.3,107,0.2,105,31.636,0,33
2023-01-14 20:00:00,6.3,15,5.9,13.8,69,4.3,57,64,73,1,51.6,53,32,9,28.6,55.1,5,4.7,56.5,58.3,0.2,28.3,56.5,5,4.7,58.3,129,0.2,121,38.333,0,33
2023-01-15 00:00:00,6.3,15,6,13.9,69,4.4,56,64,73,1,51,53,32,9,28.2,55,5,4.7,57.7,98.8,0.2,27.9,55.9,4.9,4.6,57.8,127.7,0.2,138,45.606,0,33
2023-01-15 02:00:00,6.3,15,6,13.9,68,4.3,55.8,64,75,1.1,51,53,32,9,27.9,55,4.8,4.6,57.7,100,0.2,28.2,56.1,4.8,4.5,57.9,125.3,0.2,119,37.486,0,33
2023-01-15 04:00:00,6.3,15,5.9,13.9,68,4.3,57,64,75,1.1,51,53,32,9,29,54.3,4.9,4.7,57.6,102.9,0.2,29.2,58,4.9,4.7,60.2,128.2,0.2,120,37.909,0,33
2023-01-15 06:00:00,6.3,15,5.9,13.9,67,4.3,56,64,75,1.1,51,53,32,9,30,54.3,4.9,4.7,57.5,104.5,0.2,29.3,55.7,4.8,4.6,57.7,126.3,0.2,139,46.037,0,33
2023-01-15 08:00:00,6.3,15,5.9,13.9,63,4.3,56,64,75,1.1,51,53,32,9,30,54.3,4.9,4.7,57.5,105,0.2,29.3,55.7,4.8,4.7,57.7,131,0.2,149,50.354,0,33
2023-01-15 10:00:00,6.2,15,5.9,13.9,64,4.3,56,64,75,1.1,51,53,32,9,27.6,55,5,4.7,57.4,109.5,0.2,28.1,55.3,4.9,4.7,57.7,125.7,0.2,161,55.536,0,33
2023-01-15 12:00:00,6.2,15,5.9,13.9,68,4.3,56,64,75,1.1,51,53,32,9,28,55,5,4.7,57.4,110,0.2,27.5,55.3,4.9,4.7,57.7,126,0.2,112,34.542,0,33
2023-01-15 14:00:00,6.2,15,5.9,13.9,65,4.3,56,64,75,1.1,51,53,32,9,27.9,54.8,5,4.7,57.8,109.1,0.2,28.2,59.6,4.9,4.7,57.7,138.5,0.2,119,37.486,0,33
2023-01-15 16:00:00,6.2,15,5.9,13.9,66,4.3,56,64,75,1.1,51,53,33,9,25.8,55.2,5,4.7,58,108.2,0.2,26.9,57,4.9,4.7,58.8,127.3,0.2,129,41.741,0,33
2023-01-15 18:00:00,6.2,15,5.9,13.9,65,4.3,56,64,75,1.1,51,53,32,9,27.8,57,4.9,4.6,57.7,105.9,0.2,28.5,56.3,4.8,4.5,58.1,125.6,0.2,138,45.606,0,33
2023-01-15 20:00:00,6.2,15,5.9,14,68,4.3,56,64,75,1.1,51,53,32,9,26.9,54.5,4.9,4.6,57.6,106,0.2,27.3,55,4.8,4.6,57.6,125.6,0.2,147,49.49,0,33
